Abdominal pain,0000737
abcess,0000833
abdominal pain,0000737
redness,UI-less
night sweats,0028081
fever,UI-less
anechoic collection,UI-less
cystic,0010709
cystic collectionan,UI-less
abdominal abcess,0243001
Crohns,0010346
abdominal stoma,0459683
ventral Hernia,0019326
peripheral neuropathy,0031117
anxiety,0003469
depression,0011581
NAD,UI-less
lesions,UI-less
M,UI-less
R,UI-less
G,UI-less
epigastric mass,UI-less
erythema,0041834
tender to palpation,UI-less
infection,0021311
abdominla scars,UI-less
jaundice,0022346
depressed,1579931
ABSCESS,0000833
fluid collects,UI-less
crohn's,0010346
fluid collections,UI-less
fluid collects,UI-less
ABDOMINAL WALL COLLECTION,0401020
Crohn's disease,0010346
Collection,UI-less
anechoic collection,UI-less
cystic,0010709
cystic collection,UI-less
complications,0009566
pain,0030193
hypotension,UI-less
abdomen tender,0232498
abdomen warm,UI-less
red,UI-less
pain,0030193
wound,0043250
complication,0009566
pain,0030193
Abdominal wall abscess,0263105
Crohn's disease,0010346
drainage site,1272590
redness,UI-less
pain,0030193
swelling,UI-less
discharge,UI-less
pain,0030193
pain,0030193
pain,0030193
Fever,UI-less
Vomiting,0042963
Inability to drink,UI-less
Inability to eat,UI-less
Inability to pass stool,UI-less
Inability to pass gas,0426631
Redness wounds,0406833
swelling wounds,UI-less
drainage wounds,0332799
symptoms,1457887
Bicuspid aortic valve,0149630
aortic stenosis,0003507
Bicuspid aortic valve,0149630
aortic stenosis,0003507
bicuspid aortic valve,0149630
aortic valve stenosis,0003507
presyncopal episode,0700200
increased peak aortic gradient,UI-less
presyncopal episode,0700200
fatigue,0015672
dyspnea on exertion,0231807
shortness of breath,0013404
chest pain,0008031
paroxysmal nocturnal dyspnea,1956415
orthopnea,0085619
Bicuspid aortic valve,0149630
Asthma,0004096
Factor XI deficiency,0015523
Hypertension,0020538
Hypercholesterolemia,0020443
Polymyalgia rheumatica,0032533
Osteoarthritis,0029408
incisional hernia,0267716
Left bundle-branch block,0023211
swelling,UI-less
hives,0042109
acute distress,UI-less
anicteric,UI-less
lymphadenopathy,UI-less
masses,UI-less
systolic ejection murmur,UI-less
abdomen nondistended,UI-less
abdomen nontender,UI-less
abdomen soft,UI-less
masses,UI-less
organomegaly,UI-less
Extremities warm,UI-less
cyanotic,0010520
edematous,0013604
acute process,UI-less
aortic stenosis,0003507
factor XI deficiency,0015523
postoperative bleeding,0032788
complication,0009566
bleeding,0019080
ventricular tachycardia,0042514
asymptomatic,UI-less
ventricular tachycardia,0042514
ventricular tachycardia,0042514
asymptomatic,UI-less
supraventricular tachycardia,0039240
asymptomatic,UI-less
pain,0030193
pain,0030193
presyncopal events,0700200
acute distress,UI-less
sternal click,UI-less
drainage from incision site,UI-less
murmurs,UI-less
rubs,UI-less
gallops,UI-less
pedal edema,0574002
sucking chest wall wound,1264413
peroneal injury,0272439
injury,0175677
hypertension,0020538
diabetes,0011849
asthma,0004096
bleeding disorder,1458140
shortness of breath,0013404
palpitations,UI-less
Nontender,UI-less
nondistended,UI-less
blood loss,0019080
respiratory arrest,0162297
unresponsive,UI-less
not breathing,0003578
patent airway,UI-less
pain,0030193
cardiac event,UI-less
events,UI-less
passing flatus,0016204
afebrile,UI-less
afebrile,UI-less
shortness of breath,0013404
ileus,1258215
dyspnea,0013404
respiratory improvement,UI-less
SOB,0013404
SOB,0013404
not ambulated,UI-less
weakness,1883552
GB,0018378
difficulty eating,UI-less
reflux,0232483
coughing,0010200
choking,UI-less
difficulty swallowing,0011168
SOB,0013404
infiltrates,0332448
cough productive,0239134
reflux,0232483
dyspnea,0013404
CHF,0018802
WBC elevated,UI-less
DVT,0149871
fist degree AV block,0085614
nonspecific ST changes,UI-less
abdominal pain,0000737
hydronephrosis,0020295
renal cysts,0268800
obstruction,0028778
lipase elevated,UI-less
Cystinuria,0010691
HTN,0020538
afib,0004238
CHF,0018802
Primary pulmonary HTN,0152171
Chronic renal insufficiency,0022661
Gout,0018099
Multiple renal cysts,0431718
pancreatic mass,UI-less
Chronic gastritis,0085695
GERD,0017168
Anemia,0002871
elevated PSA,UI-less
Cutis laxa,0010495
Restless legs syndrome,0035258
DM,0011849
stroke,0038454
DM,0011849
cystinuria,0010691
hoarse voice,0019825
erythema,0041834
LAD,UI-less
thyroid enlarged,0018021
murmurs,UI-less
crackles,0034642
costovertebral tenderness,0235634
Abd tenderness,0232498
Abd distended,UI-less
guarding,UI-less
can't walk,UI-less
hyperpigmented macules,UI-less
respiratory status,UI-less
aspiration,UI-less
dysphagia,0011168
aspiration PNA,0032290
respiratory status,UI-less
difficulty swallowing,0011168
aspiration,UI-less
symptoms,1457887
pain,0030193
pain,0030193
pain,0030193
drowsy,UI-less
chronic renal failure,0022661
cystinuria,0010691
cystinuria,0010691
flash pulmonary edema,0155919
Anemia,0002871
iron deficiency anemia,0162316
intolerance of iron,UI-less
constipation,0009806
nodularity,0028259
anemia,0002871
abdominal pain,0000737
kidney stones,0022650
cystinuria,0010691
HTN,0020538
diastolic dysfunction,0520863
flash pulmonary edema,0155919
systolic hypertension,0221155
dysphagia,0011168
restless legs,0035258
Aspiration Pneumonia,0032290
Cystinuria,0010691
HTN,0020538
afib,0004238
CHF,0018802
Primary pulmonary HTN,0152171
primary pulmonary hypertension,0152171
dizziness,0012833
Chronic renal insufficiency,0022661
Gout,0018099
Multiple renal cysts,0431718
pancreatic mass,UI-less
Chronic gastritis,0085695
GERD,0017168
Anemia,0002871
elevated PSA,UI-less
Cutis laxa,0010495
Restless legs syndrome,0035258
pneumonia,0032285
hypertension,0020538
dizziness,0012833
fatigue,0015672
heart block,0018794
fatigued,0015672
lightheaded,0220870
syncope,0039070
chest pain,0008031
heart block,0078794
urinary tract infection,0042029
symptoms,1457887
burning,0085624
frequency,UI-less
urgency,UI-less
shortness of breath,0013404
bright red blood,UI-less
melena,0025222
paroxysmal nocturnal dyspnea,1956415
orthopnea,0085619
shortness of breath,0013404
dyspnea on exertion,0231807
lower extremity edema,0239340
palpitations,UI-less
Hypertension,0020538
Colovesicular fistula,0268842
diverticulitis,0012813
rash,0015230
rash,0015230
acute distress,UI-less
bradycardiac,0428977
systolic murmur,UI-less
Abdomen nondistended,UI-less
Abdomen nontender,UI-less
Abdomen soft,UI-less
clubbing,0149651
cyanosis,0010520
edema,0013604
sinus rhythm,UI-less
right bundle branch block,0085615
heart block,0018794
conduction abnormality,0232219
heart block,0018794
Urinary tract infection,0042029
urinary tract infection,0042029
Atrioventricular conduction block,UI-less
Hypertension,0020538
Hypothyroidism,0020676
Dyspnea on exertion,0231807
heart murmurs,UI-less
dyspnea,0013404
mitral regurgitation,0026266
lesion,UI-less
Hypertension,0020538
Addison's disease,0001403
Hypothyroidism,0020676
Melanoma,0025202
BPH,0005001
acute distress,UI-less
murmur,UI-less
JVD,UI-less
systolic murmur,UI-less
Abdomen nondistended,UI-less
Abdomen Nontender,UI-less
Abdomen Soft,UI-less
Ext warm,UI-less
pneumothorax,0032326
CHF,0018802
bilateral pleural effusions,0747635
addisons disease,0001403
atrial fibrillation,0004238
first degree AV-block,0085614
AV block,0004245
afib,0004238
elevated HR,UI-less
elevated BP,UI-less
AV block,0004245
edamatous,0013604
Mitral regurgitation,0026266
Hypertension,0020538
Addison's disease,0001403
Hypothyroidism,0020676
bright red blood per rectum,UI-less
bleeding,0019080
volume of stools,UI-less
passed clots,UI-less
passed bowel movement,UI-less
bleeding,0019080
bleeding,0019080
acute bleeding,0333276
pooling blood,UI-less
bleeding vessels,0264940
bleeding vessel,0264940
bleeding vessel,0264940
bleeding vessel,0264940
bleeding blood vessel,0264940
asplenic,0272405
bleeding diverticula,UI-less
complication,0009566
diverticulosis,1510475
lower GI bleeding,0024050
hypertension,0020538
glaucoma,0017601
rheumatic heart disease,0035439
hemorrhoids,0019112
glaucoma,0017601
abdomen distended,UI-less
abdominal tenderness,0232498
abdominal distention,UI-less
pneumonia,0032285
pulmonary edema,0034063
Lower GI bleed,0024050
bleeding diverticula,0581360
chest pain with exertion,0232288
aortic stenosis,0003507
murmur,UI-less
bicuspid aortic valve,0149630
chest pain with exertion,0232288
symptoms,1457887
tricuspid regurgitation,0040961
mitral regurgitation,0026266
left ventricular hypertrophy,0149721
enlarged,0020564
aortic insufficiency,0003504
aortic stenosis,0003507
