
2-vessel coronary artery disease,0581375
3 VESSEL DISEASE,0340285
3 vessel coronary artery disease,0340285
3VD,0340285
A fib,0004238
A-Fib,0004238
A-V conduction,UI-less
AAA,0162871
ABD ND,UI-less
ABD NR,UI-less
ABD NT,UI-less
ABD Soft,UI-less
ABD nondistended,UI-less
ABD nontender,UI-less
ABD soft,UI-less
ABDOMEN Soft,UI-less
ABDOMEN nondistended,UI-less
ABDOMEN nontender,UI-less
ABDOMEN obese,UI-less
ABDOMINAL WALL COLLECTION,0401020
ABSCESS,0000833
ACS,0948089
AD,0002395
AF,0004238
AFIB,0004238
AFib,0004238
AI,0003504
AIDS,0001175
AIRWAY OBSTRUCTION,0001883
AMS,0278061
ANEMIA,0002871
AOCD,0002873
APD,UI-less
AR,0003504
ARDS,0035222
ARF,0022660
AS,0003507
ASD,0018817
ASPERGILLOSIS,0004030
ASSAULT,0004063
ATN,0022672
ATRIAL DEFECT,0018817
ATRIAL SEPTAL DEFECT,0018817
AV block,0004245
AV fistula,0003855
AV nodal disease,UI-less
Ab ND,UI-less
Ab NT,UI-less
Ab soft,UI-less
Abd ND,UI-less
Abd NT,UI-less
Abd Soft,UI-less
Abd distended,UI-less
Abd nd,UI-less
Abd nondistended,UI-less
Abd nontender,UI-less
Abd nt,UI-less
Abd obese,UI-less
Abd scaphoid,0238532
Abd soft,UI-less
Abd tenderness,0232498
Abdomen NT,UI-less
Abdomen Nontender,UI-less
Abdomen Soft,UI-less
Abdomen nondistended,UI-less
Abdomen nontender,UI-less
Abdomen shifting dullness,UI-less
Abdomen soft,UI-less
Abdomen tenderness,0232498
Abdominal aortic aneurysm,0162871
Abdominal pain,0000737
Abdominal wall abscess,0263105
Abnormal septal motion,UI-less
Abnormal septal position,UI-less
Acute ST Segment Elevation Myocardial Infarction,1303258
Acute renal failure,0022660
Acute respiratory failure,0264490
Addison's disease,0001403
Adomen soft,UI-less
Adrenal insufficiency,0001623
Afebrile,UI-less
Afferent pupillary defect,UI-less
Afib,0004238
Air- fluid levels,UI-less
Alcoholic cirrhosis,0023891
Altered mental status,0278061
Alzheimer's dementia,0002395
Anemia,0002871
Anicteric,UI-less
Anoxic Brain injury,0003132
Anxiety,0003469
Aortic Stenosis,0003507
Aortic aneurysm,0003486
Aortic aneurysms thoracic,0162872
Aortic aneurysms,0003486
Aortic dissection, type B,0340647
Aortic stenosis,0003507
Aortic valve disease,1260873
Aphasia,0003537
Aspergillosis,0004030
Aspiration Pneumonia,0032290
Aspiration pneumonia,0032290
Aspiration,UI-less
Assault,0004063
Asthma,0004096
Atrial fibrillation,0004238
Atrial flutter,0004239
Atrioventricular conduction block,UI-less
Atrophy,0333641
B-Cell Lymphoma,0079731
B12 deficiency,0042847
BB toxicity,0573209
BLEED,0019080
BONE LUCENCY,UI-less
BP dropped,UI-less
BP fell,UI-less
BP,UI-less
BPH,0005001
BRBPR,UI-less
Bactrim reaction,0041755
Benign prostatic hypertrophy,0005001
Beta-blocker toxicity,0573209
Biatrial enlargement,UI-less
Bicuspid aortic valve,0149630
Bilateral effusions,UI-less
Bilateral pleural effusions,0747635
Bipolar disorder,0005586
Bladder cancer,0005684
Bleeding esophageal varices,0155789
Blood loss anemia,0948824
Bradycardia,0428977
Bradycardic,0428977
C,0010520
C,0085593
C,0149651
C. difficile,UI-less
CAD,1956346
CCE,UI-less
CEREBELLER HEMORRHAGE,0149854
CHB,0151517
CHEST PAIN,0008031
CHEST PRESSURE,0438716
CHEST TIGHTNESS,0232292
CHF,0018802
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0024117
CK trended down,UI-less
CKD,0403447
CMO,UI-less
CMV positive,UI-less
CMV,UI-less
CO2 retention,UI-less
COAGULOPATHY,0005779
COMPLETE HEART BLOCK,0151517
CONGESTIVE HEART FAILURE,0018802
COP,0024117
COPD exacerbation,UI-less
COPD,0024117
CORONARY ARTERY DISEASE,1956346
CP,0008031
CRI,0022661
CRP elevated,UI-less
CVA Tenderness,0235634
CVA,0038454
Calcified tips,UI-less
Cardiac Arrest,0018790
Cardiac enzymes,UI-less
Cardiomegaly,UI-less
Carotid Stenosis,0007282
Carotid stenosis,0007282
Cataracts,0086543
Catatonic depression,UI-less
Cerebrovascular accident,0038454
Cerebrovascular event,UI-less
Change in mental status,0278061
Chest Pain,0008031
Chest pain,0008031
Cholelithiasis,0008350
Chronic Inflammation,0021376
Chronic anemia,0581384
Chronic atrial fibrillation,0694539
Chronic constipation,0401149
Chronic gastritis,0085695
Chronic low back pain,0457949
Chronic obstructive pulmonary disease,0024117
Chronic renal failure,0022661
Chronic renal insufficiency,0022661
Cirrhosis,0023890
Clostridium difficile infection,0343386
Coarse breath sounds,UI-less
Cocaine abuse,0009171
Collection,UI-less
Colon carcinoma,0699790
Colovesicular fistula,0268842
Community-acquired pneumonia,0694549
Complete heart block,0151517
Confusion,0009676
Congestive Heart Failure,0018802
Congestive heart failure,0018802
Constipation,0009806
Cooling,UI-less
Coronary Artery Disease,1956346
Coronary artery disease,1956346
Crackles,0034642
Critical aortic stenosis,1960800
Crohn's disease,0010346
Crohn's flare,0010346
Crohn's,0010346
Crohns,0010346
Cutis laxa,0010495
Cystinuria,0010691
DECUBITUS FOOT ULCER,0577716
DEPRESSION,0011570
DIABETES MELLITUS,0011849
DIABETES Type II,0011860
DM 2,0011860
DM,0011849
DM2,0011860
DMII,0011860
DNI,UI-less
DNR,UI-less
DOE,0231807
DTRs,UI-less
DVT,0149871
DVTs,0149871
Dec resp. drive,UI-less
Decreased BS,UI-less
Decreased hearing,UI-less
Decreased touch,UI-less
Decubitus ulcer,0011127
Degenerative joint disease,0029408
Degenerative,0011164
Delirium,0011206
Delta MS,0278061
Dementia,0497327
Depression,0011570
Depression,0011581
Diabetes  Mellitus,0011849
Diabetes Mellitus Type 2,0011860
Diabetes Mellitus,0011849
Diabetes mellitus type 2,0011860
Diabetes mellitus,0011849
Diabetes,0011849
Diabetic nephropathy,0011881
Diaphoretic,0700590
Diastolic dysfunction,0520863
Dilated RV,0344893
Dilated,0012359
Distress,0476273
Diverticulosis,1510475
Do Not Intubate,UI-less
Do Not Resuscitate,UI-less
Down's syndrome,0013080
Downs syndrome,0013080
Dry mucous membranes,0854113
Dyspnea on exertion,0231807
Dysrythmias,0003811
E,0013604
EKG changes,UI-less
ESOPHAGITIS,0014868
ESR elevated,UI-less
ESRD,0022661
EXT warm,UI-less
Effacement,UI-less
Elevated Aminotransferases,UI-less
Elevated CK,UI-less
Elevated Cr,UI-less
Elevated LFTs,UI-less
Elevated cardiac enzymes,UI-less
Elevated cholesterol,0020443
Elevated left sided filling pressures,UI-less
Elevated right sided filling pressures,UI-less
Elongated,UI-less
Encephalopathy,0085584
End-stage renal disease,0022661
Endocarditis,0014118
Erythema,0041834
Esophageal ulcers,0151970
EtOH Intoxication,0001969
EtOH abuse,0085762
EtOH intoxication,0001969
EtOH use,0085762
Ethanol Intoxication,0001969
Ethanol withdrawal,0236663
Ext Warm,UI-less
Ext warm,UI-less
Extrem Warm,UI-less
Extrem warm,UI-less
Extremities Warm,UI-less
Extremities warm,UI-less
F,UI-less
FAILURE TO THRIVE,0015544
FX,0016658
Factor XI deficiency,0015523
Failure to Thrive,0015544
Failure to thrive,0015544
Fever,UI-less
Fluid accumulation,UI-less
Food Impaction,UI-less
Food gastroesophageal junction,UI-less
Food impaction,UI-less
Food lower third of the esophagus,UI-less
Fracture,0016658
G,UI-less
GALLSTONES,0008350
GASTRIC ULCERS,0341178
GASTROESOPHAGEAL REFLUX DISEASE,0017168
GB,0018378
GCS,UI-less
GERD,0017168
GI motility disorder,UI-less
GIB,0017181
GLAUCOMA,0017601
Gait unsteady,UI-less
Gallops,UI-less
Gallstones,0008350
Ganglioma,0206716
Gastritis,0017152
Gastroesophageal reflux disease,0017168
Generalize Seizure,0234533
Gilberts disease,0017551
Glaucoma,0017601
Global systolic function,UI-less
Gout,0018099
Grasp reflex,UI-less
HA,0018681
HEAD INJURY,0018674
HH hernia,0019284
HIT,0272285
HSM,0019214
HSV Encephalitis,0276226
HSV encephalitis,0276226
HTN,0020538
HYPERTENSION,0020538
Hay fever,0018621
Headache,0018681
Hearing loss,UI-less
Heme positive stool,1321898
Hemmorhage,0019080
Hep C Cirrhosis,UI-less
HepC,0019196
Hepatic encephalopathy,0019151
Hepatitis B,0019163
Hepatitis C,0019196
Heroin abuse,0019337
Hiatal Hernia,0019284
Hiatal hernia,0019284
High chol,0020443
Hyper K,UI-less
Hypercalcemia malignancy,0149911
Hyperchol,0020443
Hypercholesterolemia,0020443
Hyperdense material,UI-less
Hyperglycemia,0020456
Hyperkalemia,UI-less
Hyperlipidemia,0020473
Hypertension,0020538
Hypertrophic cardiomyopathy,0007194
Hypoglycemia,0020615
Hyponatremia,UI-less
Hypoperfusion,UI-less
Hyporeflexia,UI-less
Hypotension,UI-less
Hypothermia,UI-less
Hypothyroidism,0020676
