headache,0018681
dizziness,0012833
headache,0018681
neck stiffness,0151315
unable to walk,UI-less
inability to walk,UI-less
pain,0030193
headache,0018681
Hypothyroidism,0020676
rash,0015230
acute distress,UI-less
Abdomen bruits,0221755
Abdomen nontender,UI-less
nondistended,UI-less
clubbing,0149651
cyanosis,0010520
edema,0013604
cerebral aneurysm,0917996
MCA aneurysm,1290398
afebrile,UI-less
facial droop,0427055
drift,UI-less
aneurysm,0002940
aneurysm,0002940
MCA aneurysm,1290398
MCA aneurysm,1290398
headache,0018681
moving all extremities,UI-less
drift,UI-less
Chest pain,0008031
SOB,0013404
shoulder blade pain,0231655
back pain,0004604
SOB,0013404
SOB,0013404
SOB,0013404
pain back,0004604
pain shoulder blade,0231655
pain,0030193
SOB,0013404
reversible inferior defect,UI-less
reversible anterior defect,UI-less
diseased,0012634
stenosis,1261287
arthritis,0003864
carpal tunnel,0007286
shingles,0019360
LGIB,0024050
MI,0027051
NAD,UI-less
JVD,UI-less
rhonchi,0035508
systolic murmur at apex,UI-less
Abd ND,UI-less
Abd NT,UI-less
lower ext edema,0239340
hematoma,0018944
bruits,UI-less
bed abnormalities,UI-less
splinters,0433651
stenosis,1261287
diseased,0012634
stenosis,1261287
diseased,0012634
stenosis,1261287
occluded,0028778
3VD,0340285
dropping oxygen saturation,UI-less
pulmonary toilet,UI-less
drop blood pressure,0232107
atrial flutter,0004239
atrial fibrillation,0004238
Coronary artery disease,1956346
atrial fibrillation,0004238
hypoxia,0242184
non-verbal status,UI-less
vascular dementia,0011269
cerebellar stroke,0451672
tachypnic,0231835
thick whitish secreations,UI-less
Febrile,UI-less
sepsis,0243026
PUD,0030920
dementia,0497327
CVA,0038454
GIB,0017181
DVT,0149871
MR,0026266
localized pain,0520962
Pupils pinpoint,UI-less
midline lesion,UI-less
upper hard palate yellow and discolored,UI-less
m,UI-less
r,UI-less
g,UI-less
coarse rhonchi,0035508
erythema,0041834
distended,UI-less
le edema,0239340
poor foot hygiene,UI-less
dp pulse,UI-less
decubitus,0011127
st-tw changes,UI-less
opacities,1265876
edema,0013604
aspiration,UI-less
dilated  loops small  bowel,UI-less
air-filled  colonic
loops,UI-less
ileus,1258215
small  bowel  obstruction,0235329
cva,0038454
hypoxia,0242184
rhonchi,0035508
opacity,1265876
elevated lactate,UI-less
Lactate elevated,UI-less
CVA,0038454
infectious,0021311
